Query,Output
Write a function that checks if all cars are electric and returns True if some cars are electric but only if they are new.,"```
def is_all_electric(cars):
    return all(car.is_new and car.is_electric for car in cars)
```
This function uses a list comprehension to iterate over the `cars` list, checking if each `car` has both the `is_new` and `is_electric` attributes set to `True`. If all of these conditions are met, the function returns `True`, otherwise it returns `False`.

You can also use a for loop instead of a list comprehension:
```
def is_all_electric(cars):
    for car in cars:
        if not (car.is_new and car.is_electric):
            return False
    return True
```"
"Write a function that checks if all products are on sale and returns True if some products are on sale, but only if they have a discount.","
def check_sale(products):
    for product in products:
        if 'discount' in product:
            return True
    return False"
"Write a function that checks if all students passed and returns True if some students passed, but only if they studied.","```
def check_students(students):
    return any(student['passed'] for student in students) and all(student['studied'] for student in students)
```
This function uses the `any` built-in function to check if at least one student passed, and the `all` built-in function to check if all students studied. The `and` operator is used to combine these two conditions.

Here's an example of how you can use this function:
```
students = [
    {'name': 'Alice', 'passed': True, 'studied': True},
    {'name': 'Bob', 'passed': False, 'studied': False},
    {'name': 'Charlie', 'passed': True, 'studied': False}
]

print(check_students(students)) # Output: False
```
In this example, the function returns `False` because not all students studied and at least one student failed."
"Write a function that checks if all tickets are sold and returns True if some tickets are sold, but only if they were purchased early.","```
def check_tickets(tickets):
    return any(ticket[""purchased_early""] for ticket in tickets)
```
This function uses a list comprehension to iterate over the `tickets` dictionary and returns `True` if any of the tickets have the `""purchased_early""` key set to `True`.

Here's an example usage:
```
>>> check_tickets([{""ticket_id"": 1, ""purchased_early"": True}, {""ticket_id"": 2, ""purchased_early"": False}])
True
```"
"Write a function that checks if all employees are full-time and returns True if some employees are full-time, but only if they have benefits.","
def check_full_time(employees):
    for employee in employees:
        if employee[""isFullTime""] == False:
            return False
        elif ""benefits"" not in employee or employee[""benefits""] == None:
            return False
    
    return True"
"Write a function that checks if all phones are smartphones and returns True if some phones are smartphones, but only if they have a touchscreen.","```
def is_smartphone(phones):
    for phone in phones:
        if 'touchscreen' not in phone['features']:
            return False
    return True
```
This function checks if all phones have the feature ""touchscreen"" in their dictionary. If a phone doesn't have this feature, it returns `False`. If all phones have this feature, it returns `True`."
"Write a function that checks if all tasks are completed and returns True if some tasks are completed, but only if they are urgent.","
def check_tasks(tasks):
    return any(task[""urgency""] == ""urgent"" and task[""completed""] for task in tasks)"
"Write a function that checks if all animals are domesticated and returns True if some animals are domesticated, but only if they live indoors.","```
def check_domestication(animals):
    return any(animal[""indoor""] for animal in animals)
```
Explanation:

The `any()` function takes a generator expression as an argument. In this case, the generator expression is `(animal[""indoor""] for animal in animals)`. This generates a sequence of booleans, where each boolean indicates whether the corresponding animal lives indoors. The `any()` function returns `True` if any of these booleans are `True`, and `False` otherwise.

The `check_domestication()` function takes a list of dictionaries as an argument, where each dictionary represents an animal and has the following keys: ""indoor"" (a boolean indicating whether the animal lives indoors), ""domesticated"" (a boolean indicating whether the animal is domesticated). The function returns `True` if any of the animals are both indoor and domesticated, and `False` otherwise.

For example, if we call the function with the following list of dictionaries:
```
animals = [
    {""indoor"": True, ""domesticated"": True},
    {""indoor"": False, ""domesticated"": False},
    {""indoor"": True, ""domesticated"": False}
]
```
The function will return `True`, because one of the animals (the first one) is both indoor and domesticated. If we call the function with a different list of dictionaries, for example:
```
animals = [
    {""indoor"": True, ""domesticated"": False},
    {""indoor"": False, ""domesticated"": False},
    {""indoor"": True, ""domesticated"": False}
]
```
The function will return `False`, because none of the animals are both indoor and domesticated."
"Write a function that checks if all restaurants are open and returns True if some restaurants are open, but only if they serve breakfast.","```
def is_open(restaurants):
    for restaurant in restaurants:
        if ""breakfast"" in restaurant[""services""]:
            return True
    return False
```
This function checks if the `services` key in each restaurant's dictionary contains the string ""breakfast"". If it does, it returns `True`. If it doesn't find any restaurants that serve breakfast, it will return `False`."
"Write a function that checks if all books are available and returns True if some books are available, but only if they are new.","
def check_books(books):
    return any(book['available'] for book in books) and all(book['new'] for book in books)"
